// 賢者隨機技能發動數據
// 守護永恆[Dathena] 2005/12/17
// 數據格式:
// 技能ID,名稱,隨機技能所需等級,機率(萬分率.例:10000=100%)
// PS:機率不要設定太低,否則會加重伺服器負擔

// 初心者
223,流氓天國,1,0
224,強制減價,1,0
225,抄襲,1,0

// 煉金術士
226,斧頭使用熟練度,1,0
227,知識藥水,1,0
228,配藥,1,4000
229,火煙瓶投擲,2,4000
230,強酸攻擊,2,4000
231,藥水投擲,2,4000
232,生物調撥,4,4000
233,氣泡蟲召喚,4,4000
234,化學武器保護,4,4000
235,化學盾牌保護,4,4000
236,化學鎧甲保護,4,4000
237,化學頭盔保護,4,4000

// 煉金術士(生命體技能部分)
//238,生命倫理,1,0
//239,生命工學研究,1,0
//240,生命體,1,0
//241,培育,1,0
//242,火焰控制,1,0
//243,生命體召喚,1,0
//244,安息,1,0
//245,攻擊力訓練,1,0
//246,治愈生命體,1,0
//247,復活生命體,1,0

// 十字軍
248,信任,1,0
249,自動防御,1,4000
250,盾擊,2,4000
251,回旋盾擊,2,4000
252,反射盾牌,4,4000
253,圣十字攻擊,2,4000
254,圣十字審判,6,4000
255,獻身,4,4000
256,神佑之光,2,4000
257,光之盾,4,4000
258,長矛加速術,1,4000

// 武僧
259,鐵沙掌,1,0
260,運氣調息,1,0
261,蓄氣,1,4000
262,吸氣,1,4000
263,六合拳,1,0
264,弓身彈影,4,4000
265,移花接木,1,0
266,彈指神通,2,4000
267,浸透勁,2,4000
268,金剛不壞,4,4000
269,真劍百道破,2,4000
270,爆氣,2,4000
271,阿修羅霸凰拳,6,4000
272,連環全身掌,1,0
273,猛龍夸強,1,0

// 賢者
274,進化之書,1,0
275,取消施法,1,4000
276,魔法懲戒,1,4000
277,念咒拆除,2,4000
278,自由施法,1,0
279,自動念咒,2,4000
280,火焰屬性附加,2,4000
281,水屬性附加,2,4000
282,風屬性附加,2,4000
283,地屬性附加,2,4000
284,龍知識,1,0
285,火元素領域,4,4000
286,水元素領域,4,4000
287,風元素領域,4,4000
288,地元素領域,4,4000
289,魔法效果解除,6,4000
290,隨機技能,4,4000

// 隨機技能-效果技能發動設定
291,弱化,4,2500
292,強化,8,2500
293,召喚,6,3500
294,變臉,4,5000
295,死亡,8,2000
296,意外之財,6,4000
297,捕捉寵物,6,4000
298,問號,4,5000
299,重力社,4,5000
300,升級,10,500
301,自滅,4,2000
302,完全回復,8,3000
303,瀕死,4,4000

// 詩人舞娘(合體技能部分)
304,臨機應變,1,0
305,安可,1,0
306,搖籃曲,1,0
307,經驗值倍增,1,0
308,永遠的混沌,1,0
309,戰鼓震天,1,0
310,尼貝隆根之指輪,1,0
311,洛奇的悲　,1,0
312,觸媒之所,1,0
313,不死神齊格弗里德,1,0
//314,諸神的黃昏,1,0

// 詩人
315,操控樂器,1,0
316,樂器攻擊,1,4000
317,不協和音,1,0
318,冷笑話,2,4000
319,吹口哨,1,0
320,刺客的黃昏,1,0
321,布萊奇之詩,1,0
322,依登的頻果,1,0

// 舞娘
323,練習舞蹈,1,0
324,纏箭投擲,1,4000
325,丑陋之舞,1,0
326,驚聲尖叫,2,4000
327,哼唱之音,1,0
328,勿忘我,1,0
329,女神之吻,1,0
330,為您服務,1,0

