// 老舊收集相冊可以得到的卡片數據
// 守護永恆[Dathena] 2005/12/17
// 數據格式:
// 卡片ID,卡片名稱,機率(例:百萬分率500000=50%,1000000=100%)
// 機率的判定方法:道具使用失敗時,在全部機率都沒有抽到卡片的情況下自動抽到ID為0的卡片.
// 當系統抽到多個同樣機率的卡片時,會以最后一次抽到的為準,也就是同機率編號靠后的為準.

4125,狄奧斯卡片,10000
4126,米洛斯卡片,10000
4127,夢魘卡片,10000
4129,小巴風特卡片,10000
4130,蠍子之王卡片,10000
4133,幽靈劍士卡片,10000
4136,卡利斯格卡片,10000
4139,裘卡卡片,10000
4140,深淵騎士卡片,10000
4141,闇神官卡片,10000

// 新增卡片
//============================================
// 目前仍沒有找到完全的數據

4149,蝙蝠弓箭手卡片,10000
4150,魔羌卡片,10000
4151,狂暴鬼火卡片,10000
4152,啤酒企鵝卡片,10000
4153,卡拉蟹卡片,10000
4154,飯團人卡片,10000
4155,哥布靈首領卡片,10000
4156,蒸氣哥布靈卡片,10000
4157,哥布靈弓箭手卡片,10000
4158,七彩飛龍卡片,10000
4159,九尾狐卡片,10000
4160,邪骸火槍手卡片,10000
4161,七彩大嘴鳥卡片,10000
4162,暴焰大腳熊卡片,10000
4163,獅鷲獸卡片,10000
4164,狂暴野豬卡片,10000
4165,狂暴鐵蠍卡片,10000
4166,七彩夢魘卡片,10000
4167,奈利蟲卡片,10000
4169,迷幻之王卡片,10000
4170,鏡妖卡片,10000
4171,暗黑祭司卡片,10000
4172,紙妖卡片,10000
4173,天邪鬼卡片,10000
4174,惡魔波利卡片,10000
4175,牛蛙卡片,10000
4176,幽靈重甲兵卡片,10000
4177,森林妖姬卡片,10000
4178,刺尾蜻蜓卡片,10000
4179,蒼蠅王卡片,5000
4180,暴鉆傘蜥卡片,10000
4181,假面鬼卡片,10000
4182,赤焰小惡魔卡片,10000
4183,流浪之狼卡片,5000
4184,熔岩巨石卡片,10000
4185,飛行魔書卡片,10000
4186,奈吉鳥卡片,10000
4187,幽靈弓箭手卡片,10000
4188,狂暴大腳熊卡片,10000
4189,狂暴惡靈卡片,10000
4190,惡靈卡片,10000
4191,銀月魔女卡片,10000
4192,直升機哥布靈卡片,10000
4193,南瓜魂卡片,10000
4194,瑞畢歐卡片,10000
4195,葉貓卡片,10000
4196,冰波利卡片,10000
4197,波利之王卡片,10000
4198,狂暴蟻后卡片,10000
4199,人魚士兵卡片,10000
4200,邪惡摩艾卡片,10000
4201,狂暴米諾斯卡片,10000
4202,狐仙卡片,10000
4203,半龍人卡片,10000
4204,狂暴小惡魔卡片,10000
4205,邪惡箱卡片,10000
4206,邪惡禮盒卡片,10000
4207,弒神者卡片,10000
4208,米雅畢卡片,10000
4209,薇歐莉卡片,10000
4210,邪骸浪人卡片,10000
4211,搖滾蝗蟲王卡片,5000
4212,妖道卡片,10000
4213,伊特瓢蟲卡片,10000
4214,菜刀重甲兵卡片,10000
4215,火焰妖卡片,10000
4216,雪熊卡片,10000
4217,猴桃木卡片,10000
4218,惡魔女仆卡片,10000
4219,賢者蟲卡片,10000
4220,岩石龜卡片,10000
4221,邪骸戰士長卡片,10000
4222,邪骸戰俘卡片,10000
4223,鐘乳巨石怪卡片,10000
4224,灰森靈卡片,10000
4225,石炮火樹卡片,10000
4226,史汀卡片,10000
4227,彈簧兔卡片,10000
4228,沙妖卡片,10000
4229,鐘塔守護者卡片,10000
4230,火忍西怒畢卡片,10000
4231,米糕卡片,10000
4232,人參精卡片,10000
4233,小花豹卡片,10000
4234,虎蜥人卡片,10000
4235,甜餅人卡片,10000
4237,?裊首領卡片,10000
4238,裊男爵卡片,10000
4239,鐵蠍卡片,10000
4240,卷甲蟲卡片,10000
4241,聖天使波利卡片,10000
4242,阿修羅機械戰士卡片,10000
4243,邪惡老公公卡片,10000
4244,鐘怪卡片,10000
4245,狂暴小土人卡片,10000
4246,風靈龜卡片,10000
4247,海星卡片,10000
4248,狂暴木乃伊卡片,10000
4249,狂暴蜈蚣卡片,10000
4250,行刑者卡片,10000
4251,邪靈魔導士卡片,10000
4252,鱷魚人卡片,10000
4253,愛麗斯卡片,10000
4254,獸牙怪卡片,10000
4255,獸人女戰士卡片,10000
4256,獸人弓箭手卡片,10000
4257,狂暴野貓卡片,10000
4258,妖仙女卡片,10000
4259,機木人卡片,10000
4260,伍坦彈弓手卡片,10000
4261,伍坦戰士卡片,10000
4262,惡云仙人卡片,10000
4264,風魔巫師卡片,10000
4265,豹皮怪卡片,10000
4266,瘋兔之王卡片,5000
4267,爆炎蝙蝠卡片,10000
4268,惡魔侍者卡片,10000
4269,邪惡使者卡片,10000
4270,狂暴蜘蛛卡片,10000
4271,狂暴蜂兵卡片,10000
4272,舞龍卡片,10000
4273,貝殼魔靈卡片,10000
4274,腐屍首領卡片,10000
4275,腐屍戰俘卡片,10000
4277,艾斯恩魔女卡片,10000
4278,鬼娃樹卡片,10000
4279,七彩地龍卡片,10000
4280,邪惡向日葵卡片,10000
4281,拉鏈熊卡片,10000
4282,天狗卡片,10000
4283,將軍魔碑卡片,10000
4284,魔靈娃娃卡片,10000
4285,巧克猴卡片,10000
4286,傘妖卡片,10000
4287,釣魚河童卡片,10000
4288,卡拉特小丑卡片,10000
4289,狂暴綠綿蟲卡片,10000
4290,狂暴月夜貓卡片,10000
4291,犬妖首領卡片,10000
4292,犬妖弓箭手卡片,10000
4293,綠餅人卡片,10000
4294,萬聖魔卡片,10000
4295,克萊本卡片,10000
4296,藍鼠卡片,10000
4297,玩具士兵卡片,10000
4298,狂暴克瑞米卡片,10000
4299,古鐘魔卡片,10000
4300,凱美拉卡片,10000
4301,狂暴螳螂卡片,10000
4303,曼斯鍬型蟲卡片,5000
4304,塔姆庵卡片,10000
4306,蛙王卡片,10000
4307,巨象甲蟲卡片,10000
4308,三葉蟲卡片,10000
4309,苗娃佩瑞斯卡片,10000
4310,狂暴哥布靈卡片,10000
4311,果樹龜卡片,10000
4312,海豹寶寶卡片,10000
4313,朽魔卡片,10000
4314,梅納海葵卡片,10000
4315,單眼蟲卡片,10000
4316,惡魔天使卡片,10000
4317,流氓卡片,10000
4319,水靈龜卡片,10000
4320,血腥騎士卡片,10000
4321,幽靈兔卡片,10000
4322,獸人戰士長卡片,10000
4323,卡侖寶寶卡片,10000
4325,鳥人哈比卡片,10000
4326,海獺卡片,10000
4327,血蝴蝶卡片,5000
4328,妖君卡片,10000
4329,阿修羅狂戰士卡片,10000
4331,火焰龜卡片,10000
